R_fighter,B_fighter,Winner,weight_class,R_wins,R_losses,B_wins,B_losses,fight_number
Kyler Phillips,Cameron Else,Red,Bantamweight,1,0,0,0,239
Holly Holm,Irene Aldana,Red,WomenBantamweight,6,5,5,3,240
Yorgan De Castro,Carlos Felipe,Blue,Heavyweight,1,1,0,1,241
Jordan Williams,Nassourdine Imavov,Blue,Middleweight,0,0,0,0,242
Loma Lookboonmee,Jinh Yu Frey,Red,WomenStrawweight,1,1,0,1,243
Casey Kenney,Heili Alateng,Red,Bantamweight,3,1,2,0,244
Luigi Vendramini,Jessin Ayari,Red,Lightweight,0,1,1,2,245
Ketlen Vieira,Sijara Eubanks,Red,WomenBantamweight,4,1,4,2,246
Israel Adesanya,Paulo Costa,Red,Middleweight,8,0,5,0,247
Kai Kara-France,Brandon Royval,Blue,Flyweight,4,1,1,0,248
Shane Young,Ludovit Klein,Blue,Featherweight,2,1,0,0,249
Diego Sanchez,Jake Matthews,Blue,Welterweight,19,12,9,4,250
Brad Riddell,Alex Da Silva,Red,Lightweight,2,0,1,1,251
Dominick Reyes,Jan Blachowicz,Blue,LightHeavyweight,6,1,9,5,252
Hakeem Dawodu,Zubaira Tukhugov,Red,Featherweight,4,1,4,2,253
William Knight,Aleksa Camur,Red,LightHeavyweight,0,0,1,0,254
Khadis Ibragimov,Danilo Marques,Blue,LightHeavyweight,0,3,0,0,255
Juan Espino,Jeff Hughes,Red,Heavyweight,1,0,0,3,256
Johnny Walker,Ryan Spann,Red,LightHeavyweight,3,2,4,0,257
Mirsad Bektic,Damon Jackson,Blue,Featherweight,6,3,0,3,258
Colby Covington,Tyron Woodley,Red,Welterweight,10,2,9,5,259
Mackenzie Dern,Randa Markos,Red,WomenStrawweight,3,1,6,8,260
Jordan Espinosa,David Dvorak,Blue,Flyweight,2,2,1,0,261
Kevin Holland,Darren Stewart,Red,Middleweight,5,2,5,5,262
Khamzat Chimaev,Gerald Meerschaert,Red,Middleweight,2,0,6,5,263
Donald Cerrone,Niko Price,Draw,Welterweight,23,12,6,5,264
Jessica-Rose Clark,Sarah Alpar,Red,WomenBantamweight,2,2,0,0,265
Darrick Minner,TJ Laramie,Red,Featherweight,0,1,0,0,266
Journey Newson,Randy Costa,Blue,Bantamweight,0,2,1,1,267
Mayra Bueno Silva,Mara Romero Borella,Red,WomenFlyweight,1,1,2,4,268
Andre Ewell,Irwin Rivera,Red,Bantamweight,3,2,1,1,269
Tyson Nam,Jerome Rivera,Red,Bantamweight,1,2,0,0,270
Bobby Green,Alan Patrick,Red,Lightweight,7,6,5,2,271
Roosevelt Roberts,Kevin Croom,Draw,Lightweight,4,2,0,0,272
Billy Quarantillo,Kyle Nelson,Red,Featherweight,2,0,1,2,273
Julia Avila,Sijara Eubanks,Blue,WomenBantamweight,2,0,3,2,274
Michelle Waterson,Angela Hill,Red,WomenStrawweight,5,4,7,8,275
Roxanne Modafferi,Andrea Lee,Red,WomenFlyweight,3,5,3,2,276
Ed Herman,Mike Rodriguez,Red,LightHeavyweight,12,11,2,3,277
Ottman Azaitar,Khama Worthy,Red,Lightweight,1,0,2,0,278
Alexandr Romanov,Roque Martinez,Red,Heavyweight,0,0,0,0,279
Brok Weaver,Jalin Turner,Blue,CatchWeight,1,1,2,2,280
Bryan Barberena,Anthony Ivy,Red,Welterweight,5,5,0,1,281
Sabina Mazo,Justine Kish,Red,WomenFlyweight,2,1,3,2,282
Ovince Saint Preux,Alonzo Menifield,Red,LightHeavyweight,12,9,2,1,283
Brian Kelleher,Ray Rodriguez,Red,Featherweight,5,4,0,0,284
Michel Pereira,Zelim Imadaev,Red,Welterweight,1,2,0,2,285
Viviane Araujo,Montana De La Rosa,Red,WomenFlyweight,2,1,4,1,286
Andre Muniz,Bartosz Fabinski,Red,Middleweight,1,0,3,1,287
